genes,weights
ENSMUSG00000064367,0.2
ENSMUSG00000105389,0.2
ENSMUSG00000102493,0.2
ENSMUSG00000075602,0.15
ENSMUSG00000053615,0.15
ENSMUSG00000095656,0.15
ENSMUSG00000100738,0.15
ENSMUSG00000100691,0.15
ENSMUSG00000097140,0.15
ENSMUSG00000101695,0.15
ENSMUSG00000092713,0.15
ENSMUSG00000027470,0.15
ENSMUSG00000073060,0.15
ENSMUSG00000023912,0.15
ENSMUSG00000007946,0.15
ENSMUSG00000039543,0.15
ENSMUSG00000028601,0.15
ENSMUSG00000117732,0.15
ENSMUSG00000110382,0.15
ENSMUSG00000090429,0.15
ENSMUSG00000072624,0.15
ENSMUSG00000001767,0.15
ENSMUSG00000033184,0.15
ENSMUSG00000086740,0.15
ENSMUSG00000090136,0.15
ENSMUSG00000032023,0.15
ENSMUSG00000092456,0.15
ENSMUSG00000081731,0.15
ENSMUSG00000010136,0.15
ENSMUSG00000001773,0.15
ENSMUSG00000086369,0.15
ENSMUSG00000056267,0.15
ENSMUSG00000043702,0.15
ENSMUSG00000111964,0.15
ENSMUSG00000086288,0.15
ENSMUSG00000055134,0.15
ENSMUSG00000077450,0.15
ENSMUSG00000020733,0.15
ENSMUSG00000116182,0.15
ENSMUSG00000111885,0.15
ENSMUSG00000038212,0.15
ENSMUSG00000088445,0.15
ENSMUSG00000040396,0.15
ENSMUSG00000002948,0.15
ENSMUSG00000104280,0.15
ENSMUSG00000052981,0.15
ENSMUSG00000002320,0.15
ENSMUSG00000101268,0.15
ENSMUSG00000115085,0.15
ENSMUSG00000025607,0.15
ENSMUSG00000041231,0.15
ENSMUSG00000077192,0.15
ENSMUSG00000024622,0.15
ENSMUSG00000040363,0.15
ENSMUSG00000025081,0.15
ENSMUSG00000100405,0.15
ENSMUSG00000076795,0.15
ENSMUSG00000082554,0.15
ENSMUSG00000094257,0.15
ENSMUSG00000030287,0.15
ENSMUSG00000072966,0.15
ENSMUSG00000087026,0.15
ENSMUSG00000029544,0.15
ENSMUSG00000092269,0.15
ENSMUSG00000046096,0.15
ENSMUSG00000111974,0.15
ENSMUSG00000097303,0.15
ENSMUSG00000043683,0.15
ENSMUSG00000111610,0.15
ENSMUSG00000026516,0.15
ENSMUSG00000053801,0.15
ENSMUSG00000071281,0.15
ENSMUSG00000107577,0.15
ENSMUSG00000111091,0.15
ENSMUSG00000029384,0.15
ENSMUSG00000110815,0.15
ENSMUSG00000036552,0.15
ENSMUSG00000101795,0.15
ENSMUSG00000113899,0.15
ENSMUSG00000102483,0.15
ENSMUSG00000084024,0.15
ENSMUSG00000081602,0.15
ENSMUSG00000074826,0.15
ENSMUSG00000110694,0.15
ENSMUSG00000110119,0.15
ENSMUSG00000108033,0.15
ENSMUSG00000031668,0.15
ENSMUSG00000050088,0.15
ENSMUSG00000004667,0.15
ENSMUSG00000018451,0.15
ENSMUSG00000069302,0.15
ENSMUSG00000101849,0.15
ENSMUSG00000087408,0.15
ENSMUSG00000093629,0.15
ENSMUSG00000074852,0.15
ENSMUSG00000060128,0.15
ENSMUSG00000085760,0.15
ENSMUSG00000106528,0.15
ENSMUSG00000024786,0.15
ENSMUSG00000099349,0.15
ENSMUSG00000110791,0.15
ENSMUSG00000035171,0.15
ENSMUSG00000072662,0.15
ENSMUSG00000067148,0.15
ENSMUSG00000028834,0.15
ENSMUSG00000050957,0.15
ENSMUSG00000053185,0.15
ENSMUSG00000038648,0.15
ENSMUSG00000024105,0.15
ENSMUSG00000113383,0.15
ENSMUSG00000087299,0.15
ENSMUSG00000114369,0.15
ENSMUSG00000048347,0.15
ENSMUSG00000022074,0.15
ENSMUSG00000070738,0.15
ENSMUSG00000041815,0.15
ENSMUSG00000117481,0.15
ENSMUSG00000045996,0.15
ENSMUSG00000118088,0.15
ENSMUSG00000111960,0.15
ENSMUSG00000016995,0.15
ENSMUSG00000038840,0.15
ENSMUSG00000037935,0.15
ENSMUSG00000021660,0.15
ENSMUSG00000074029,0.15
ENSMUSG00000038541,0.15
ENSMUSG00000027184,0.15
ENSMUSG00000026289,0.15
ENSMUSG00000064337,0.15
ENSMUSG00000040302,0.15
ENSMUSG00000109828,0.15
ENSMUSG00000086816,0.15
ENSMUSG00000104721,0.15
ENSMUSG00000105707,0.15
ENSMUSG00000027366,0.15
ENSMUSG00000024806,0.15
ENSMUSG00000036596,0.15
ENSMUSG00000081046,0.15
ENSMUSG00000091408,0.15
ENSMUSG00000032553,0.15
ENSMUSG00000102694,0.15
ENSMUSG00000117291,0.15
ENSMUSG00000096685,0.15
ENSMUSG00000109313,0.15
ENSMUSG00000081898,0.15
ENSMUSG00000024068,0.15
ENSMUSG00000074269,0.15
ENSMUSG00000075595,0.15
ENSMUSG00000086004,0.15
ENSMUSG00000097828,0.15
ENSMUSG00000088689,0.15
ENSMUSG00000089887,0.15
ENSMUSG00000042474,0.15
ENSMUSG00000083836,0.15
ENSMUSG00000115790,0.15
ENSMUSG00000008892,0.15
ENSMUSG00000101610,0.15
ENSMUSG00000033498,0.15
ENSMUSG00000118477,0.15
ENSMUSG00000050578,0.15
ENSMUSG00000064138,0.15
ENSMUSG00000032346,0.15
ENSMUSG00000051237,0.15
ENSMUSG00000117050,0.15
ENSMUSG00000118401,0.15
ENSMUSG00000059912,0.15
ENSMUSG00000056487,0.15
ENSMUSG00000040828,0.15
ENSMUSG00000100394,0.15
ENSMUSG00000115783,0.15
ENSMUSG00000029636,0.15
ENSMUSG00000064061,0.15
ENSMUSG00000084854,0.15
ENSMUSG00000068303,0.15
ENSMUSG00000116895,0.15
ENSMUSG00000101462,0.15
ENSMUSG00000112008,0.15
ENSMUSG00000108129,0.15
ENSMUSG00000042845,0.15
ENSMUSG00000053128,0.15
ENSMUSG00000107255,0.15
ENSMUSG00000033434,0.15
ENSMUSG00000114302,0.15
ENSMUSG00000087199,0.15
ENSMUSG00000105907,0.15
ENSMUSG00000086067,0.15
ENSMUSG00000064357,0.15
ENSMUSG00000047514,0.15
ENSMUSG00000073018,0.15
ENSMUSG00000044052,0.15
ENSMUSG00000038429,0.15
ENSMUSG00000047977,0.15
ENSMUSG00000102997,0.15
ENSMUSG00000082313,0.15
ENSMUSG00000114410,0.15
ENSMUSG00000003992,0.15
ENSMUSG00000080719,0.15
ENSMUSG00000045232,0.15
ENSMUSG00000032549,0.15
ENSMUSG00000003135,0.15
ENSMUSG00000114226,0.15
ENSMUSG00000117903,0.15
ENSMUSG00000095987,0.15
ENSMUSG00000098207,0.15
ENSMUSG00000040697,0.15
ENSMUSG00000103749,0.15
ENSMUSG00000022195,0.15
ENSMUSG00000085021,0.15
ENSMUSG00000112304,0.15
ENSMUSG00000110276,0.15
ENSMUSG00000104449,0.15
ENSMUSG00000104436,0.15
ENSMUSG00000021188,0.15
ENSMUSG00000038181,0.15
ENSMUSG00000110636,0.15
ENSMUSG00000058216,0.15
ENSMUSG00000112288,0.15
ENSMUSG00000115715,0.15
ENSMUSG00000102184,0.15
ENSMUSG00000110790,0.15
ENSMUSG00000051056,0.15
ENSMUSG00000090118,0.15
ENSMUSG00000112863,0.15
ENSMUSG00000118307,0.15
ENSMUSG00000117332,0.15
ENSMUSG00000082483,0.15
ENSMUSG00000094111,0.15
ENSMUSG00000117641,0.15
ENSMUSG00000051076,0.15
ENSMUSG00000074466,0.15
ENSMUSG00000026999,0.15
ENSMUSG00000064340,0.15
ENSMUSG00000025159,0.15
ENSMUSG00000085582,0.15
ENSMUSG00000097650,0.15
ENSMUSG00000105188,0.15
ENSMUSG00000117156,0.15
ENSMUSG00000046062,0.15
ENSMUSG00000112274,0.15
ENSMUSG00000095369,0.15
ENSMUSG00000055531,0.15
ENSMUSG00000046311,0.15
ENSMUSG00000113041,0.15
ENSMUSG00000052525,0.15
ENSMUSG00000064363,0.15
ENSMUSG00000068452,0.15
ENSMUSG00000030272,0.15
ENSMUSG00000007570,0.15
ENSMUSG00000111805,0.15
ENSMUSG00000043366,0.15
ENSMUSG00000049516,0.15
ENSMUSG00000100862,0.15
ENSMUSG00000020354,0.15
ENSMUSG00000110558,0.15
ENSMUSG00000095217,0.15
ENSMUSG00000042444,0.15
ENSMUSG00000034248,0.15
ENSMUSG00000000248,0.15
ENSMUSG00000083151,0.15
ENSMUSG00000071237,0.15
ENSMUSG00000033790,0.15
ENSMUSG00000031163,0.15
ENSMUSG00000023845,0.15
ENSMUSG00000108738,0.15
ENSMUSG00000051232,0.15
ENSMUSG00000044080,0.15
ENSMUSG00000050908,0.15
ENSMUSG00000029992,0.15
ENSMUSG00000083191,0.15
ENSMUSG00000113611,0.15
ENSMUSG00000027660,0.15
ENSMUSG00000111685,0.15
ENSMUSG00000047565,0.15
ENSMUSG00000103811,0.15
ENSMUSG00000036523,0.15
ENSMUSG00000033948,0.15
ENSMUSG00000079101,0.15
ENSMUSG00000108985,0.15
ENSMUSG00000039007,0.15
ENSMUSG00000106824,0.15
ENSMUSG00000115635,0.15
ENSMUSG00000098217,0.15
ENSMUSG00000028868,0.15
ENSMUSG00000105945,0.15
ENSMUSG00000108294,0.15
ENSMUSG00000105199,0.15
ENSMUSG00000049493,0.15
ENSMUSG00000026667,0.15
ENSMUSG00000113949,0.15
ENSMUSG00000084207,0.15
ENSMUSG00000085750,0.15
ENSMUSG00000109015,0.15
ENSMUSG00000032637,0.15
ENSMUSG00000109395,0.15
ENSMUSG00000036972,0.15
ENSMUSG00000064341,0.15
ENSMUSG00000001138,0.1
ENSMUSG00000107005,0.1
ENSMUSG00000084083,0.1
ENSMUSG00000037896,0.1
ENSMUSG00000046167,0.1
ENSMUSG00000027668,0.1
ENSMUSG00000022021,0.1
ENSMUSG00000082272,0.1
ENSMUSG00000072898,0.1
ENSMUSG00000106945,0.1
ENSMUSG00000009075,0.1
ENSMUSG00000114415,0.1
ENSMUSG00000083863,0.1
ENSMUSG00000093894,0.1
ENSMUSG00000105233,0.1
ENSMUSG00000106570,0.1
ENSMUSG00000082578,0.1
ENSMUSG00000029076,0.1
ENSMUSG00000023047,0.1
ENSMUSG00000044362,0.1
ENSMUSG00000026697,0.1
ENSMUSG00000033831,0.1
ENSMUSG00000036983,0.1
ENSMUSG00000117603,0.1
ENSMUSG00000105851,0.1
ENSMUSG00000025147,0.1
ENSMUSG00000085860,0.1
ENSMUSG00000070732,0.1
ENSMUSG00000021610,0.1
ENSMUSG00000082233,0.1
ENSMUSG00000022704,0.1
ENSMUSG00000110521,0.1
ENSMUSG00000102460,0.1
ENSMUSG00000113819,0.1
ENSMUSG00000023909,0.1
ENSMUSG00000064441,0.1
ENSMUSG00000040795,0.1
ENSMUSG00000042724,0.1
ENSMUSG00000024370,0.1
ENSMUSG00000084011,0.1
ENSMUSG00000025064,0.1
ENSMUSG00000112955,0.1
ENSMUSG00000087776,0.1
ENSMUSG00000020228,0.1
ENSMUSG00000100707,0.1
ENSMUSG00000111593,0.1
ENSMUSG00000021254,0.1
ENSMUSG00000062077,0.1
ENSMUSG00000028799,0.1
ENSMUSG00000037971,0.1
ENSMUSG00000096753,0.1
ENSMUSG00000029781,0.1
ENSMUSG00000086544,0.1
ENSMUSG00000007989,0.1
ENSMUSG00000112252,0.1
ENSMUSG00000117717,0.1
ENSMUSG00000029223,0.1
ENSMUSG00000033669,0.1
ENSMUSG00000036980,0.1
ENSMUSG00002075997,0.1
ENSMUSG00000054417,0.1
ENSMUSG00000000392,0.1
ENSMUSG00000082838,0.1
ENSMUSG00000068417,0.1
ENSMUSG00000117757,0.1
ENSMUSG00000082917,0.1
ENSMUSG00000112400,0.1
ENSMUSG00000104391,0.1
ENSMUSG00000110908,0.1
ENSMUSG00000021012,0.1
ENSMUSG00000103314,0.1
ENSMUSG00000001240,0.1
ENSMUSG00000079018,0.1
ENSMUSG00000086662,0.1
ENSMUSG00000020803,0.1
ENSMUSG00000049926,0.1
ENSMUSG00000058441,0.1
ENSMUSG00002075784,0.1
ENSMUSG00000119114,0.1
ENSMUSG00002075925,0.1
ENSMUSG00000113898,0.1
ENSMUSG00000086754,0.1
ENSMUSG00000073468,0.1
ENSMUSG00000039852,0.1
ENSMUSG00000054945,0.1
ENSMUSG00000066491,0.1
ENSMUSG00000029034,0.1
ENSMUSG00000118203,0.1
ENSMUSG00000008206,0.1
ENSMUSG00000097680,0.1
ENSMUSG00000085558,0.1
ENSMUSG00000069744,0.1
ENSMUSG00000105501,0.1
ENSMUSG00000101502,0.1
ENSMUSG00000085767,0.1
ENSMUSG00000075589,0.1
ENSMUSG00000027998,0.1
ENSMUSG00000103865,0.1
ENSMUSG00000073242,0.1
ENSMUSG00000077202,0.1
ENSMUSG00000054779,0.1
ENSMUSG00000106288,0.1
ENSMUSG00000042357,0.1
ENSMUSG00000022828,0.1
ENSMUSG00000041468,0.1
ENSMUSG00000028294,0.1
ENSMUSG00000022687,0.1
ENSMUSG00000044786,0.1
ENSMUSG00000117013,0.1
ENSMUSG00000027552,0.1
ENSMUSG00000033983,0.1
ENSMUSG00000115307,0.1
ENSMUSG00000038612,0.1
ENSMUSG00000042515,0.1
ENSMUSG00000063767,0.1
ENSMUSG00000110824,0.1
ENSMUSG00000064145,0.1
ENSMUSG00000101574,0.1
ENSMUSG00000111334,0.1
ENSMUSG00000084332,0.1
ENSMUSG00000044709,0.1
ENSMUSG00000004631,0.1
ENSMUSG00000107534,0.1
ENSMUSG00000021706,0.1
ENSMUSG00000097557,0.1
ENSMUSG00000111074,0.1
ENSMUSG00000078677,0.1
ENSMUSG00000018411,0.1
ENSMUSG00000037469,0.1
ENSMUSG00000034354,0.1
ENSMUSG00000015711,0.1
ENSMUSG00000090265,0.1
ENSMUSG00000095597,0.1
ENSMUSG00000115099,0.1
ENSMUSG00000099719,0.1
ENSMUSG00000116557,0.1
ENSMUSG00000020448,0.1
ENSMUSG00000085134,0.1
ENSMUSG00000032733,0.1
ENSMUSG00000112535,0.1
ENSMUSG00000029607,0.1
ENSMUSG00000115314,0.1
ENSMUSG00000058019,0.1
ENSMUSG00000062038,0.1
ENSMUSG00000115223,0.1
ENSMUSG00000014905,0.1
ENSMUSG00000021081,0.1
ENSMUSG00000084105,0.1
ENSMUSG00000033209,0.1
ENSMUSG00000068798,0.1
ENSMUSG00000034413,0.1
ENSMUSG00000026019,0.1
ENSMUSG00000024209,0.1
ENSMUSG00000118244,0.1
ENSMUSG00000061488,0.1
ENSMUSG00000050677,0.1
ENSMUSG00000100585,0.1
ENSMUSG00000083478,0.1
ENSMUSG00000114970,0.1
ENSMUSG00000083769,0.1
ENSMUSG00000024050,0.1
ENSMUSG00000099342,0.1
ENSMUSG00000097845,0.1
ENSMUSG00000022151,0.1
ENSMUSG00000025035,0.1
ENSMUSG00000026126,0.1
ENSMUSG00000057262,0.1
ENSMUSG00000074681,0.1
ENSMUSG00000091418,0.1
ENSMUSG00000112888,0.1
ENSMUSG00000054855,0.1
ENSMUSG00000006673,0.1
ENSMUSG00000114677,0.1
ENSMUSG00000042244,0.1
ENSMUSG00000035356,0.1
ENSMUSG00000086539,0.1
ENSMUSG00000052435,0.1
ENSMUSG00000102862,0.1
ENSMUSG00000041935,0.1
ENSMUSG00000032766,0.1
ENSMUSG00000081476,0.1
ENSMUSG00000109717,0.1
ENSMUSG00000015647,0.1
ENSMUSG00000044681,0.1
ENSMUSG00002076922,0.1
ENSMUSG00000060550,0.1
ENSMUSG00000117390,0.1
ENSMUSG00000001436,0.1
ENSMUSG00000119895,0.1
ENSMUSG00000084791,0.1
ENSMUSG00000064349,0.1
ENSMUSG00000079478,0.1
ENSMUSG00000087364,0.1
ENSMUSG00000027255,0.1
ENSMUSG00000057691,0.1
ENSMUSG00000037362,0.1
ENSMUSG00000066180,0.1
ENSMUSG00000070287,0.1
ENSMUSG00000096074,0.1
ENSMUSG00000039903,0.1
ENSMUSG00000104606,0.1
ENSMUSG00000033860,0.1
ENSMUSG00000037689,0.1
ENSMUSG00000026159,0.1
ENSMUSG00000031639,0.1
ENSMUSG00000050332,0.1
ENSMUSG00000028343,0.1
ENSMUSG00000019822,0.1
ENSMUSG00000049249,0.1
ENSMUSG00000006235,0.1
ENSMUSG00000097622,0.1
ENSMUSG00000035298,0.1
ENSMUSG00000069379,0.1
ENSMUSG00000028243,0.1
ENSMUSG00000114771,0.1
ENSMUSG00000099437,0.1
ENSMUSG00000027224,0.1
ENSMUSG00000041377,0.1
ENSMUSG00000007033,0.1
ENSMUSG00000072492,0.1
ENSMUSG00000119511,0.1
ENSMUSG00000025261,0.1
ENSMUSG00000081618,0.1
ENSMUSG00000084215,0.1
ENSMUSG00000085093,0.1
ENSMUSG00000046480,0.1
ENSMUSG00000045053,0.1
ENSMUSG00000085876,0.1
ENSMUSG00000041135,0.1
ENSMUSG00000104528,0.1
ENSMUSG00000112698,0.1
ENSMUSG00000095351,0.1
ENSMUSG00000022797,0.1
ENSMUSG00000098442,0.1
ENSMUSG00000065674,0.1
ENSMUSG00000041607,0.1
ENSMUSG00000068134,0.1
ENSMUSG00000007817,0.1
ENSMUSG00000118342,0.1
ENSMUSG00000026039,0.1
ENSMUSG00000025876,0.1
ENSMUSG00000020799,0.1
ENSMUSG00000036180,0.1
ENSMUSG00002076266,0.1
ENSMUSG00000086770,0.1
ENSMUSG00000104983,0.1
ENSMUSG00000025407,0.1
ENSMUSG00000106588,0.1
ENSMUSG00000107628,0.1
ENSMUSG00000050765,0.1
ENSMUSG00000074178,0.1
ENSMUSG00000081255,0.1
ENSMUSG00000020826,0.1
ENSMUSG00000029819,0.1
ENSMUSG00000082065,0.1
ENSMUSG00000090561,0.1
ENSMUSG00000025702,0.1
ENSMUSG00000107586,0.1
ENSMUSG00000114045,0.1
ENSMUSG00000075701,0.1
ENSMUSG00000020189,0.1
ENSMUSG00000114823,0.1
ENSMUSG00000092558,0.1
ENSMUSG00000072718,0.1
ENSMUSG00000031618,0.1
ENSMUSG00000024393,0.1
ENSMUSG00000084320,0.1
ENSMUSG00000085329,0.1
ENSMUSG00000083964,0.1
ENSMUSG00000116180,0.1
ENSMUSG00000085539,0.1
ENSMUSG00000032492,0.1
ENSMUSG00000085418,0.1
ENSMUSG00000098062,0.1
ENSMUSG00000027409,0.1
ENSMUSG00000063919,0.1
ENSMUSG00000103622,0.1
ENSMUSG00000113095,0.1
ENSMUSG00000044505,0.1
ENSMUSG00000102464,0.1
ENSMUSG00000114660,0.1
ENSMUSG00000085102,0.1
ENSMUSG00002075232,0.1
ENSMUSG00000074291,0.1
ENSMUSG00000024742,0.1
ENSMUSG00000064602,0.1
ENSMUSG00000104204,0.1
ENSMUSG00000052423,0.1
ENSMUSG00000049630,0.1
ENSMUSG00000078192,0.1
ENSMUSG00000004872,0.1
ENSMUSG00000114951,0.1
ENSMUSG00000007656,0.1
ENSMUSG00000031119,0.1
