genes,weights
ENSMUSG00000097399,0.25
ENSMUSG00000057116,0.25
ENSMUSG00000097255,0.25
ENSMUSG00000069867,0.25
ENSMUSG00000026064,0.25
ENSMUSG00000112129,0.25
ENSMUSG00000076475,0.25
ENSMUSG00000021255,0.25
ENSMUSG00000081949,0.25
ENSMUSG00000080877,0.25
ENSMUSG00000080538,0.25
ENSMUSG00000103098,0.25
ENSMUSG00000110631,0.25
ENSMUSG00000082922,0.25
ENSMUSG00000097261,0.25
ENSMUSG00000045382,0.25
ENSMUSG00002076925,0.25
ENSMUSG00000105223,0.25
ENSMUSG00000067882,0.25
ENSMUSG00000084308,0.25
ENSMUSG00000040891,0.25
ENSMUSG00000078117,0.25
ENSMUSG00000050961,0.25
ENSMUSG00000002320,0.25
ENSMUSG00000097792,0.25
ENSMUSG00000046411,0.25
ENSMUSG00000107116,0.25
ENSMUSG00000117425,0.25
ENSMUSG00000110050,0.25
ENSMUSG00000112160,0.25
ENSMUSG00000107263,0.25
ENSMUSG00000020430,0.25
ENSMUSG00000103904,0.25
ENSMUSG00000102268,0.25
ENSMUSG00000106550,0.25
ENSMUSG00000114294,0.25
ENSMUSG00000104893,0.25
ENSMUSG00000091151,0.25
ENSMUSG00000094747,0.25
ENSMUSG00000102813,0.25
ENSMUSG00000103454,0.25
ENSMUSG00000059483,0.25
ENSMUSG00000092306,0.25
ENSMUSG00000078430,0.25
ENSMUSG00000110438,0.25
ENSMUSG00000116984,0.25
ENSMUSG00000095874,0.25
ENSMUSG00000108987,0.25
ENSMUSG00000114217,0.25
ENSMUSG00000112349,0.25
ENSMUSG00000114917,0.25
ENSMUSG00000102748,0.25
ENSMUSG00000107428,0.25
ENSMUSG00000111155,0.25
ENSMUSG00000110001,0.25
ENSMUSG00000088516,0.25
ENSMUSG00000091575,0.25
ENSMUSG00000112235,0.25
ENSMUSG00000075604,0.25
ENSMUSG00000118657,0.25
ENSMUSG00000105677,0.25
ENSMUSG00000084098,0.25
ENSMUSG00000006542,0.25
ENSMUSG00000044062,0.25
ENSMUSG00000106255,0.25
ENSMUSG00000085897,0.2
ENSMUSG00000071073,0.2
ENSMUSG00000114918,0.2
ENSMUSG00000039552,0.2
ENSMUSG00000081096,0.2
ENSMUSG00000023979,0.2
ENSMUSG00000079225,0.2
ENSMUSG00000064341,0.2
ENSMUSG00000099045,0.2
ENSMUSG00000024270,0.2
ENSMUSG00000098414,0.2
ENSMUSG00000110694,0.2
ENSMUSG00000064345,0.2
ENSMUSG00000102070,0.2
ENSMUSG00000106164,0.2
ENSMUSG00000115149,0.2
ENSMUSG00000096269,0.2
ENSMUSG00000112226,0.2
ENSMUSG00000112466,0.2
ENSMUSG00000020101,0.2
ENSMUSG00000108868,0.2
ENSMUSG00000097145,0.2
ENSMUSG00000114509,0.2
ENSMUSG00000080440,0.2
ENSMUSG00000117484,0.2
ENSMUSG00000108783,0.2
ENSMUSG00000114067,0.2
ENSMUSG00000083528,0.2
ENSMUSG00000074254,0.2
ENSMUSG00000107667,0.2
ENSMUSG00000064363,0.2
ENSMUSG00000044633,0.2
ENSMUSG00000117589,0.2
ENSMUSG00000112943,0.2
ENSMUSG00000087805,0.2
ENSMUSG00000068349,0.2
ENSMUSG00000094557,0.2
ENSMUSG00000024039,0.2
ENSMUSG00000063535,0.2
ENSMUSG00000021604,0.2
ENSMUSG00000094417,0.2
ENSMUSG00000035429,0.2
ENSMUSG00000069206,0.2
ENSMUSG00000020839,0.2
ENSMUSG00000032878,0.2
ENSMUSG00000044544,0.2
ENSMUSG00000083704,0.2
ENSMUSG00000100968,0.2
ENSMUSG00000079103,0.2
ENSMUSG00000118626,0.2
ENSMUSG00000113768,0.2
ENSMUSG00000106803,0.2
ENSMUSG00000039828,0.2
ENSMUSG00000044678,0.2
ENSMUSG00000115279,0.2
ENSMUSG00000097226,0.2
ENSMUSG00000115600,0.2
ENSMUSG00000114660,0.2
ENSMUSG00000074887,0.2
ENSMUSG00000083847,0.2
ENSMUSG00000106334,0.2
ENSMUSG00000074139,0.2
ENSMUSG00000100583,0.2
ENSMUSG00000101111,0.2
ENSMUSG00000032640,0.2
ENSMUSG00000025329,0.2
ENSMUSG00000042216,0.2
ENSMUSG00000076144,0.2
ENSMUSG00000034528,0.2
ENSMUSG00000086119,0.2
ENSMUSG00000102187,0.2
ENSMUSG00000022805,0.2
ENSMUSG00000114882,0.2
ENSMUSG00000084798,0.2
ENSMUSG00000103452,0.2
ENSMUSG00000114683,0.2
ENSMUSG00000104280,0.2
ENSMUSG00000037801,0.2
ENSMUSG00000111171,0.2
ENSMUSG00000078897,0.2
ENSMUSG00000081330,0.2
ENSMUSG00000080968,0.2
ENSMUSG00000045004,0.2
ENSMUSG00000054909,0.2
ENSMUSG00000089838,0.2
ENSMUSG00000114243,0.2
ENSMUSG00000067555,0.2
ENSMUSG00000054013,0.2
ENSMUSG00000087265,0.2
ENSMUSG00000107447,0.2
ENSMUSG00000109480,0.2
ENSMUSG00000113136,0.2
ENSMUSG00000100862,0.2
ENSMUSG00000104040,0.2
ENSMUSG00000032172,0.2
ENSMUSG00000065434,0.2
ENSMUSG00000087584,0.2
ENSMUSG00000044313,0.2
ENSMUSG00000083745,0.2
ENSMUSG00000079140,0.2
ENSMUSG00000090558,0.2
ENSMUSG00000101702,0.2
ENSMUSG00000108191,0.2
ENSMUSG00000021086,0.2
ENSMUSG00000064581,0.2
ENSMUSG00000017000,0.2
ENSMUSG00000036123,0.2
ENSMUSG00000052779,0.2
ENSMUSG00000102483,0.2
ENSMUSG00000033597,0.2
ENSMUSG00000103355,0.2
ENSMUSG00000103419,0.2
ENSMUSG00000101517,0.2
ENSMUSG00000082090,0.2
ENSMUSG00000090429,0.2
ENSMUSG00000030544,0.2
ENSMUSG00000098761,0.2
ENSMUSG00000106826,0.2
ENSMUSG00000078877,0.2
ENSMUSG00000113527,0.2
ENSMUSG00000029054,0.2
ENSMUSG00000092124,0.2
ENSMUSG00000094282,0.2
ENSMUSG00000116874,0.2
ENSMUSG00000068522,0.2
ENSMUSG00000083832,0.2
ENSMUSG00000099202,0.2
ENSMUSG00000108959,0.2
ENSMUSG00000099902,0.2
ENSMUSG00000112557,0.2
ENSMUSG00000085776,0.2
ENSMUSG00000048616,0.2
ENSMUSG00000032394,0.2
ENSMUSG00000081636,0.2
ENSMUSG00000055771,0.2
ENSMUSG00000118583,0.2
ENSMUSG00000101583,0.2
ENSMUSG00000100212,0.2
ENSMUSG00000119546,0.2
ENSMUSG00000022595,0.2
ENSMUSG00000094865,0.15
ENSMUSG00000099397,0.15
ENSMUSG00000111337,0.15
ENSMUSG00000101840,0.15
ENSMUSG00000089827,0.15
ENSMUSG00000115790,0.15
ENSMUSG00000068083,0.15
ENSMUSG00000110749,0.15
ENSMUSG00000111865,0.15
ENSMUSG00000062874,0.15
ENSMUSG00000106038,0.15
ENSMUSG00000113819,0.15
ENSMUSG00000117200,0.15
ENSMUSG00000109979,0.15
ENSMUSG00000119807,0.15
ENSMUSG00000040209,0.15
ENSMUSG00000084768,0.15
ENSMUSG00000096971,0.15
ENSMUSG00000089705,0.15
ENSMUSG00000017344,0.15
ENSMUSG00000096922,0.15
ENSMUSG00000108671,0.15
ENSMUSG00000090171,0.15
ENSMUSG00002075479,0.15
ENSMUSG00000001569,0.15
ENSMUSG00000111548,0.15
ENSMUSG00000072955,0.15
ENSMUSG00000111161,0.15
ENSMUSG00000099568,0.15
ENSMUSG00000044811,0.15
ENSMUSG00000113543,0.15
ENSMUSG00002075981,0.15
ENSMUSG00000113757,0.15
ENSMUSG00000031844,0.15
ENSMUSG00000083006,0.15
ENSMUSG00000119765,0.15
ENSMUSG00000085725,0.15
ENSMUSG00000020435,0.15
ENSMUSG00000104432,0.15
ENSMUSG00000081688,0.15
ENSMUSG00000097984,0.15
ENSMUSG00000114424,0.15
ENSMUSG00000083409,0.15
ENSMUSG00000020251,0.15
ENSMUSG00000107364,0.15
ENSMUSG00000091897,0.15
ENSMUSG00000096831,0.15
ENSMUSG00000020072,0.15
ENSMUSG00002076599,0.15
ENSMUSG00000021495,0.15
ENSMUSG00000082443,0.15
ENSMUSG00000102687,0.15
ENSMUSG00000073680,0.15
ENSMUSG00000051729,0.15
ENSMUSG00000082828,0.15
ENSMUSG00000094475,0.15
ENSMUSG00000065464,0.15
ENSMUSG00000091923,0.15
ENSMUSG00000087582,0.15
ENSMUSG00002075570,0.15
ENSMUSG00000116389,0.15
ENSMUSG00000097691,0.15
ENSMUSG00000052551,0.15
ENSMUSG00000040146,0.15
ENSMUSG00000112041,0.15
ENSMUSG00000108711,0.15
ENSMUSG00000107964,0.15
ENSMUSG00000117936,0.15
ENSMUSG00000053399,0.15
ENSMUSG00000086316,0.15
ENSMUSG00000025512,0.15
ENSMUSG00000081673,0.15
ENSMUSG00000097405,0.15
ENSMUSG00000073956,0.15
ENSMUSG00000034800,0.15
ENSMUSG00000082494,0.15
ENSMUSG00000083689,0.15
ENSMUSG00000113364,0.15
ENSMUSG00000091401,0.15
ENSMUSG00000093429,0.15
ENSMUSG00000085057,0.15
ENSMUSG00000065430,0.15
ENSMUSG00000054247,0.15
ENSMUSG00000028517,0.15
ENSMUSG00000086518,0.15
ENSMUSG00000047733,0.15
ENSMUSG00000099254,0.15
ENSMUSG00000113865,0.15
ENSMUSG00002076221,0.15
ENSMUSG00002076302,0.15
ENSMUSG00000096035,0.15
ENSMUSG00000020037,0.15
ENSMUSG00000106917,0.15
ENSMUSG00000047002,0.15
